Община,Населено място,Адрес,lat,lon
Турция,"Измир, община Мендерес","Измир, община Мендерес (кв. Гьоредже 2)",38.392369,27.1691205
Турция,"Измир, община Мендерес","Измир, община Мендерес (кв. Газипаша 1)",36.268562,32.314304
Турция,"Измир, община Мендерес","Измир, община Мендерес (кв. Газипаша 2)",36.268562,32.314304
Турция,"Измир, район Борнова","Измир, район Борнова 1",38.470982,27.21769
Турция,"Измир, район Борнова","Измир, район Борнова 2",38.470982,27.21769
Турция,"Измир, район Борнова","Измир, район Борнова 3",38.470982,27.21769
Турция,"Измир, район Борнова","Измир, район Борнова 4",38.470982,27.21769
Турция,"Измир, район Борнова","Измир, район Борнова 5",38.470982,27.21769
Турция,"Измир, Сеферхисар","Измир, Сеферхисар",38.1955945,26.8395039
Турция,Истанбул,Истанбул (Генерално консулство),41.0082376,28.9783589
Турция,"Истанбул, Багджълар","Истанбул, Багджълар Санджактепе махалеси",41.0384645,28.855311
Турция,"Истанбул, Бакъркьой","Истанбул, Бакъркьой, Атакьой  ",40.9808541,28.856793
Турция,"Истанбул, Бююкчекмедже","Истанбул, Бююкчекмедже, кв. Кумбургаз",41.0382651,28.4659576
Турция,"Истанбул, Бахчелиевлер","Истанбул, кв. Бахчелиевлер (Йенибосна)",41.0151634,28.8247088
Турция,"Истанбул, Гюнешли","Истанбул, кв. Гюнешли 1",41.0082376,28.9783589
Турция,"Истанбул, Гюнешли","Истанбул, кв. Гюнешли 2",41.0082376,28.9783589
Турция,"Истанбул, Авджълар","Истанбул, общ. Авджълар 1",40.98213519999999,28.7212582
Турция,"Истанбул, Авджълар","Истанбул, общ. Авджълар 2",40.98213519999999,28.7212582
Турция,"Истанбул, Авджълар","Истанбул, общ. Авджълар, кв.Фирузкьой",40.98213519999999,28.7212582
Турция,"Истанбул, Арнавуткьой","Истанбул, общ. Арнавуткьой (Хадъмкьой)",41.068056,29.043056
Турция,"Истанбул, Арнавуткьой","Истанбул, общ. Арнавуткьой (Хараччъ)",41.068056,29.043056
Турция,"Истанбул, Байрампаша","Истанбул, общ. Байрампаша",41.0481503,28.90045529999999
Турция,"Истанбул, Башакшехир","Истанбул, общ. Башакшехир",41.1015173,28.7897558
Турция,"Истанбул, Бейликдюзю","Истанбул, общ. Бейликдюзю 1",40.9910381,28.6498144
Турция,"Истанбул, Бейликдюзю","Истанбул, общ. Бейликдюзю 2",40.9910381,28.6498144
Турция,"Истанбул, Газиосманпаша","Истанбул, общ. Газиосманпаша 1",41.07594770000001,28.90045529999999
Турция,"Истанбул, Газиосманпаша","Истанбул, общ. Газиосманпаша 2",41.07594770000001,28.90045529999999
Турция,"Истанбул, Есенюрт","Истанбул, общ. Есенюрт 1 (Кърач)",41.0343177,28.6614809
